accuracy,fnr,fpr,tpr,tnr,precision,f1,n_samples,n_positive,n_negative,ece,method,group
0.87,0.0847457627118644,0.1951219512195122,0.9152542372881356,0.8048780487804879,0.8709677419354839,0.8925619834710744,100,59,41,0.11073669713283561,Fixed,Overall
0.81,0.05084745762711865,0.3902439024390244,0.9491525423728814,0.6097560975609756,0.7777777777777778,0.8549618320610687,100,59,41,0.11073669713283561,Adaptive,Overall
0.8679245283018868,0.06060606060606061,0.25,0.9393939393939394,0.75,0.8611111111111112,0.8985507246376813,53,33,20,0.15672524944928262,Fixed,Sex: Female
0.8113207547169812,0.06060606060606061,0.4,0.9393939393939394,0.6,0.7948717948717948,0.8611111111111112,53,33,20,0.15672524944928262,Adaptive,Sex: Female
0.8723404255319149,0.11538461538461539,0.14285714285714285,0.8846153846153846,0.8571428571428571,0.8846153846153846,0.8846153846153846,47,26,21,0.1103744838069371,Fixed,Sex: Male
0.8085106382978723,0.038461538461538464,0.38095238095238093,0.9615384615384616,0.6190476190476191,0.7575757575757576,0.8474576271186441,47,26,21,0.1103744838069371,Adaptive,Sex: Male
1.0,0.0,0.0,1.0,1.0,1.0,1.0,32,29,3,0.07742002716832347,Fixed,Age: <=40
0.96875,0.0,0.3333333333333333,1.0,0.6666666666666666,0.9666666666666667,0.983050847457627,32,29,3,0.07742002716832347,Adaptive,Age: <=40
0.8205128205128205,0.08333333333333333,0.3333333333333333,0.9166666666666666,0.6666666666666666,0.8148148148148148,0.8627450980392156,39,24,15,0.18141339403004403,Fixed,Age: 41-65
0.8205128205128205,0.041666666666666664,0.4,0.9583333333333334,0.6,0.7931034482758621,0.8679245283018867,39,24,15,0.18141339403004403,Adaptive,Age: 41-65
0.7931034482758621,0.5,0.13043478260869565,0.5,0.8695652173913043,0.5,0.5,29,6,23,0.19094371160382373,Fixed,Age: >65
0.6206896551724138,0.3333333333333333,0.391304347826087,0.6666666666666666,0.6086956521739131,0.3076923076923077,0.42105263157894735,29,6,23,0.19094371160382373,Adaptive,Age: >65
