model,stratification,metric,gap,max_value,min_value,max_group,min_group,relative_gap
logistic_regression,Sex,accuracy,0.023283821758329992,0.8723404255319149,0.8490566037735849,Male,Female,0.0266912103083295
logistic_regression,Sex,fnr,0.10139860139860139,0.1923076923076923,0.0909090909090909,Male,Female,0.5272727272727273
logistic_regression,Sex,fpr,0.20238095238095238,0.25,0.0476190476190476,Female,Male,0.8095238095238095
logistic_regression,Sex,ece,0.044738742900181205,0.1461373467754844,0.1013986038753032,Male,Female,0.30614174875444267
logistic_regression,Age,accuracy,0.14262820512820518,0.9375,0.7948717948717948,<=40,41-65,0.15213675213675218
logistic_regression,Age,fnr,0.4310344827586207,0.5,0.0689655172413793,>65,<=40,0.8620689655172414
logistic_regression,Age,fpr,0.3333333333333333,0.3333333333333333,0.0,41-65,<=40,1.0
logistic_regression,Age,ece,0.0197476628637408,0.1560179879886629,0.1362703251249221,>65,<=40,0.12657298762996336
random_forest,Sex,accuracy,0.06342834203131265,0.8936170212765957,0.8301886792452831,Male,Female,0.07097933513027845
random_forest,Sex,fnr,0.013986013986013998,0.0909090909090909,0.0769230769230769,Female,Male,0.153846153846154
random_forest,Sex,fpr,0.1571428571428572,0.3,0.1428571428571428,Female,Male,0.5238095238095241
random_forest,Sex,ece,0.0043183362600451025,0.1245261114146915,0.1202077751546464,Female,Male,0.03467815874908649
random_forest,Age,accuracy,0.1756465517241379,0.96875,0.7931034482758621,<=40,>65,0.18131256952169073
random_forest,Age,fnr,0.4655172413793104,0.5,0.0344827586206896,>65,<=40,0.9310344827586208
random_forest,Age,fpr,0.4,0.4,0.0,41-65,<=40,1.0
random_forest,Age,ece,0.019125926467229215,0.1690690476981233,0.1499431212308941,<=40,41-65,0.11312494349278526
