category,n_features,total_importance,mean_importance,max_importance,top_feature,top_feature_importance,rank
Time Domain - Derivative,12,5.898492058616278,0.4915410048846898,1.4165713067418588,II_second_deriv_max,1.4165713067418588,1
Time Domain - Statistical,21,5.775418499875407,0.27501992856549556,1.2870340071376516,II_q50,1.2870340071376516,2
Frequency Domain - Power,12,2.9397373357832435,0.24497811131527028,1.1352303179460612,II_twave_power,1.1352303179460612,3
Entropy,8,2.749229534554512,0.343653691819314,0.9912656612421017,II_approximate_entropy,0.9912656612421017,4
Time Domain - Amplitude,6,2.410172080599148,0.4016953467665247,1.2870340071376516,II_amplitude_median,1.2870340071376516,5
HRV - Time Domain,7,1.8448884016957923,0.26355548595654177,0.6408181351445935,II_hrv_mean_rr,0.6408181351445935,6
Frequency Domain - Spectral,8,1.5904931083661178,0.19881163854576472,0.4947726691755714,II_spectral_rolloff,0.4947726691755714,7
Heart Rate,4,1.4595918492707056,0.3648979623176764,0.8737758612085033,II_hr_mean,0.8737758612085033,8
HRV - Nonlinear,7,0.964613040460438,0.1378018629229197,0.28662406091618636,II_hrv_triangular_index,0.28662406091618636,9
Other,2,0.4522653542075708,0.2261326771037854,0.32459642177102865,II_qrs_norm,0.32459642177102865,10
